organizationName,organizationURL,artefactTitle,artefactURL,translationOf,language,numberOfCharacters,lastChecked,foundOn,notes
Ökodorf Sieben Linden,https://siebenlinden.org,Entscheidungsfindung,https://siebenlinden.org/de/oekodorf/soziales/entscheidungsfindung/,,DE,4400,2023-09-19,,
Luftschlosserei,https://luftschlosserei.org,Entscheidungsfindung,https://luftschlosserei.org/wordpress/wp-content/uploads/2015/02/2014-04-03-konsens.pdf,,DE,9000,2023-10-05,,
Luftschlosserei,https://luftschlosserei.org,Soziales Miteinander,https://luftschlosserei.org/wordpress/wp-content/uploads/2015/03/Luftschlosserei-Soziales-Miteinander.pdf,,DE,7900,2023-10-05,,
Luftschlosserei,https://luftschlosserei.org,Gemeinsame Ökonomie,https://luftschlosserei.org/wordpress/wp-content/uploads/2017/07/luftschlosserei-gemeinsame-%C3%B6konomie.pdf,,DE,23200,2023-10-05,,
East Lake Commons,https://www.eastlakecommons.org,The Book of Commons,https://www.eastlakecommons.org/Documents/Public/BOC_Public.pdf,,EN,44900,2023-09-19,,
Kanthaus,https://kanthaus.online,Constitution,https://kanthaus.online/en/governance/constitution,,EN,15100,2023-09-14,,
Kanthaus,https://kanthaus.online,Verfassung,https://kanthaus.online/de/governance/constitution,Constitution,DE,17300,2023-09-14,,
Kanthaus,https://kanthaus.online,Collective Agreements,https://kanthaus.online/en/governance/collectiveagreements,,EN,4400,2023-09-14,,
Kanthaus,https://kanthaus.online,Gemeinschaftliche Vereinbarungen,https://kanthaus.online/de/governance/collectiveagreements,Collective Agreements,DE,5300,2023-09-14,,
S14,https://www.ooooo.be,(no title),https://www.ooooo.be/etherhtml/e2h.php?_=S14,,EN,20300,2023-09-14,,
Schwarz 10,http://schwarz10.de,Task Auction,http://schwarz10.de/taskauction/index.html,,EN,5400,2023-09-14,,
Schwarz 10,http://schwarz10.de,Wahlbörse,http://schwarz10.de/wahlboerse/index.html,,EN,2700,2023-09-14,,
